snapshot_date,total_traders,pct_gt_0,pct_gt_1k,pct_gt_5k,pct_gt_10k,pct_gt_100k,pct_avg_gt_1k_mo,pct_avg_gt_5k_mo,pct_avg_gt_10k_mo,pct_avg_gt_100k_mo
2024-04-01,33676,44.23,9.76,4.324,3.213,0.9532,6.925,2.524,1.6688,0.33852
2024-05-01,34580,43.33,9.57,4.228,3.126,0.9283,6.767,2.464,1.6252,0.32967
2024-06-01,45745,34.12,7.48,3.294,2.413,0.7126,5.253,1.902,1.2482,0.24921
2024-07-01,65329,25.53,5.29,2.301,1.676,0.4898,3.715,1.335,0.8664,0.17297
2024-08-01,91330,21.58,4.09,1.757,1.259,0.3559,2.805,0.997,0.6427,0.12482
2024-09-01,129023,17.54,3.01,1.266,0.906,0.2534,2.023,0.718,0.4565,0.08913
2024-10-01,171480,15.24,2.37,0.973,0.692,0.1919,1.554,0.545,0.3481,0.06765
2024-11-01,330617,11.8,1.35,0.532,0.371,0.0998,0.834,0.288,0.183,0.0363
2024-12-01,467153,12.17,1.38,0.515,0.34,0.0777,0.825,0.274,0.1676,0.0289
2025-01-01,668879,11.21,1.07,0.396,0.256,0.0561,0.612,0.201,0.1217,0.02048
2025-02-01,884252,10.67,0.87,0.317,0.201,0.0437,0.481,0.156,0.0945,0.01561
2025-03-01,997021,10.68,0.82,0.298,0.188,0.0387,0.448,0.146,0.0871,0.01434
2025-04-01,1072636,11.33,0.8,0.293,0.185,0.0365,0.436,0.14,0.0828,0.01398
2025-05-01,1111408,11.8,0.82,0.3,0.194,0.0364,0.443,0.14,0.0824,0.01377
2025-06-01,1147179,11.8,0.9,0.319,0.204,0.0364,0.484,0.143,0.0839,0.01351
2025-07-01,1181245,12.21,0.94,0.335,0.213,0.0367,0.507,0.148,0.0868,0.01329
2025-08-01,1230043,12.74,0.94,0.332,0.21,0.0365,0.498,0.146,0.0858,0.01333
2025-09-01,1266643,13.05,0.94,0.33,0.208,0.0358,0.495,0.145,0.0854,0.01318
2025-10-01,1314727,13.06,0.94,0.333,0.212,0.0354,0.497,0.144,0.0846,0.01323
2025-11-01,1502465,12.98,1.11,0.384,0.231,0.0329,0.588,0.161,0.0871,0.01245
2025-12-01,1668420,14.29,1.38,0.444,0.253,0.032,0.758,0.175,0.0876,0.01205
2026-01-01,1808318,15.03,1.65,0.491,0.26,0.0322,0.89,0.187,0.0901,0.01161
2026-02-01,2043575,15.13,1.78,0.506,0.274,0.0319,0.959,0.195,0.0917,0.01189
2026-03-01,2266424,15.57,1.94,0.56,0.306,0.0328,1.068,0.224,0.1085,0.01271
2026-04-01,2526105,15.93,2.07,0.577,0.318,0.0333,1.254,0.261,0.1288,0.0135
